symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
BTCUSDT,2025-03-15 22:58:48.017,84400.0,0.24436,84400.01,6.41595
LTCUSDT,2025-03-15 20:50:35.670,93.21,56.369,93.22,55.414
BNBUSDT,2025-03-16 06:12:19.339,607.38,5.401,607.39,14.638
ETHUSDT,2025-03-16 04:32:48.762,1926.12,33.224,1926.13,104.043
ETHUSDT,2025-03-16 06:46:27.878,1931.99,130.6061,1932.0,1.7849
BTCUSDT,2025-03-16 04:30:48.243,84299.81,4.21294,84299.82,0.73169
BNBUSDT,2025-03-16 04:02:36.436,608.6,1.965,608.61,21.649
BTCUSDT,2025-03-16 05:28:06.052,84399.99,9.09433,84400.0,1.32688
BNBUSDT,2025-03-15 20:48:33.969,614.65,2.272,614.66,12.365
LTCUSDT,2025-03-15 22:44:43.852,92.97,73.798,92.98,16.877
XRPUSDT,2025-03-16 06:44:27.402,2.3934,5351.0,2.3935,5608.0
XRPUSDT,2025-03-15 21:41:38.072,2.4154,24.0,2.4155,12420.0
BTCUSDT,2025-03-15 22:28:25.467,84393.93,0.49208,84393.94,4.86115
BTCUSDT,2025-03-16 00:52:11.145,84272.97,3.33946,84272.98,0.88027
BNBUSDT,2025-03-16 07:06:33.680,606.94,15.159,606.95,5.507
LTCUSDT,2025-03-15 21:43:38.534,93.48,2.553,93.49,77.181
BNBUSDT,2025-03-16 02:03:43.521,613.77,4.425,613.78,22.131
LTCUSDT,2025-03-15 22:08:18.106,93.4,90.686,93.41,15.822
LTCUSDT,2025-03-16 05:05:00.068,92.39,120.711,92.4,24.949
XRPUSDT,2025-03-16 03:37:26.593,2.3799,5045.0,2.38,10811.0
BNBUSDT,2025-03-16 06:04:16.504,608.16,11.244,608.17,4.173
BTCUSDT,2025-03-16 06:34:24.881,84365.46,3.18072,84365.47,0.94941
BTCUSDT,2025-03-15 22:39:42.664,84356.0,0.10808,84356.01,6.36135
BTCUSDT,2025-03-16 00:54:11.610,84281.77,0.00642,84281.78,5.79496
BNBUSDT,2025-03-16 05:00:59.043,608.14,9.117,608.15,11.714
ETHUSDT,2025-03-16 02:51:57.803,1924.33,37.0334,1924.34,21.4442
ETHUSDT,2025-03-16 05:47:10.671,1929.24,249.6639,1929.25,132.9248
LTCUSDT,2025-03-16 03:52:32.568,92.15,95.393,92.16,68.413
BTCUSDT,2025-03-16 06:45:27.639,84285.93,1.98892,84285.94,7.77645
LTCUSDT,2025-03-16 00:32:02.517,92.42,0.1,92.43,92.738
LTCUSDT,2025-03-16 02:26:49.399,91.61,45.341,91.62,28.341
BTCUSDT,2025-03-15 19:03:15.833,84164.17,0.50479,84164.18,6.26513
LTCUSDT,2025-03-16 04:23:46.067,92.42,49.963,92.43,91.824
LTCUSDT,2025-03-16 04:38:51.085,92.26,58.158,92.27,20.157
ETHUSDT,2025-03-16 04:06:37.469,1927.29,0.5646,1927.3,126.4513
BTCUSDT,2025-03-15 22:54:47.081,84408.92,0.23972,84408.93,5.80128
LTCUSDT,2025-03-16 03:39:27.806,92.16,0.123,92.17,97.851
BTCUSDT,2025-03-16 03:28:12.054,84120.0,3.24994,84120.01,2.75478
XRPUSDT,2025-03-15 20:12:42.966,2.4067,6941.0,2.4068,2058.0
ETHUSDT,2025-03-16 04:28:47.768,1926.94,18.2625,1926.95,80.9395
XRPUSDT,2025-03-16 03:55:34.498,2.3835,9693.0,2.3836,4811.0
BNBUSDT,2025-03-16 00:26:53.839,618.66,16.942,618.67,1.475
BNBUSDT,2025-03-16 03:54:34.270,608.45,15.328,608.46,73.967
ETHUSDT,2025-03-16 00:12:49.950,1937.68,45.1478,1937.69,0.33
XRPUSDT,2025-03-15 19:25:23.459,2.4013,2660.0,2.4014,11154.0
BTCUSDT,2025-03-15 19:16:21.322,84207.45,6.67388,84207.46,0.29401
XRPUSDT,2025-03-16 06:45:27.650,2.3922,12843.0,2.3923,1595.0
XRPUSDT,2025-03-16 05:00:59.046,2.3835,7271.0,2.3836,6602.0
BTCUSDT,2025-03-15 21:23:09.243,84246.2,1.529,84246.21,3.18044
LTCUSDT,2025-03-15 19:06:16.593,92.69,31.303,92.7,9.118
LTCUSDT,2025-03-15 21:30:16.527,93.31,20.526,93.32,14.944
XRPUSDT,2025-03-16 07:20:38.033,2.376,1387.0,2.3761,18819.0
