symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,mid_price,spread,volume_imbalance,rolling_volatility,future_mid,pct_change,label
BNBUSDT,2025-03-15 19:04:16.144,612.79,39.192,612.8,5.069,612.795,0.0099999999999909,0.7709495942769142,0.6283673730826951,613.275,0.0007832962083568211,1
BNBUSDT,2025-03-15 19:16:21.324,612.39,14.784,612.4,3.747,612.395,0.0099999999999909,0.595596567591821,0.378313509024538,,,0
ETHUSDT,2025-03-15 19:02:15.631,1930.21,27.7385,1930.22,44.3698,1930.215,0.0099999999999909,-0.2306433517042222,1.4666136354049475,1929.995,-0.0001139769403926647,-1
LTCUSDT,2025-03-13 03:59:30.130,90.45,12.649,90.46,169.171,90.455,0.0099999999999909,-0.8608623913287392,,93.185,0.030180752860538434,1
BNBUSDT,2025-03-15 18:59:14.629,611.63,3.727,611.64,14.237,611.635,0.0099999999999909,-0.5850590065770102,0.3434287893183974,612.795,0.0018965559524879514,1
LTCUSDT,2025-03-15 19:08:17.329,92.78,17.86,92.79,115.635,92.785,0.0100000000000051,-0.732424435317246,0.1360922889479594,92.715,-0.0007544322897019257,-1
XRPUSDT,2025-03-15 19:01:15.418,2.4018,107.0,2.4019,34435.0,2.40185,9.999999999976694e-05,-0.9938046436219692,0.0014410258691503,2.3991499999999997,-0.0011241334804423127,-1
BTCUSDT,2025-03-15 19:16:21.322,84207.45,6.67388,84207.46,0.29401,84207.455,0.0100000000093132,0.9156100327134756,14.451984446518594,,,0
BNBUSDT,2025-03-15 19:15:21.107,612.34,26.521,612.35,0.044,612.345,0.0099999999999909,0.9966873702252258,0.3315301226458563,,,0
XRPUSDT,2025-03-15 18:43:55.557,2.4001,11752.0,2.4002,2282.0,2.40015,9.999999999976694e-05,0.6747897962087254,0.0558854731671041,2.4025499999999997,0.0009999375039058957,1
BTCUSDT,2025-03-15 18:41:55.106,84230.28,3.99797,84230.29,0.91951,84230.285,0.0099999999947613,0.6260238971464572,269.771053390865,84222.295,-9.485899281956886e-05,0
ETHUSDT,2025-03-15 18:47:56.455,1932.26,67.5868,1932.27,2.3916,1932.265,0.0099999999999909,0.9316474796606316,1.0247758562514244,1933.995,0.0008953223289765072,1
LTCUSDT,2025-03-15 19:11:18.012,92.78,4.33,92.79,75.994,92.785,0.0100000000000051,-0.8921866439803563,0.0483505716383977,92.825,0.000431104165544067,1
BTCUSDT,2025-03-15 18:37:54.162,84302.65,0.10124,84302.66,5.52067,84302.655,0.0100000000093132,-0.9639837689255364,418.906182137874,84160.375,-0.001687728577468869,-1
LTCUSDT,2025-03-15 18:55:11.500,93.23,7.357,93.24,79.493,93.235,0.0099999999999909,-0.8305814621956729,0.0568526360181218,92.975,-0.0027886523301335884,-1
BNBUSDT,2025-03-15 18:38:54.408,612.09,23.787,612.1,1.557,612.095,0.0099999999999909,0.8771306814720918,17.79821526633123,612.155,9.802399954246551e-05,0
ETHUSDT,2025-03-15 18:59:14.627,1933.73,11.1951,1933.74,42.1199,1933.735,0.0099999999999909,-0.5800393884310158,0.6164053500381891,1929.845,-0.002011651027674357,-1
BTCUSDT,2025-03-15 18:47:56.451,84181.22,5.74454,84181.23,0.34416,84181.225,0.0099999999947613,0.886951236081674,42.920510106188594,84215.975,0.00041279988500998884,1
